Rented Bike Count,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm)
0,2,11.4,65,1.1,2000,5.0,0.0,0.0,0.0
0,3,11.0,66,0.9,2000,4.8,0.0,0.0,0.0
0,4,11.0,63,0.8,2000,4.2,0.0,0.0,0.0
0,5,10.8,64,0.8,2000,4.2,0.0,0.0,0.0
0,6,10.8,69,0.8,2000,5.3,0.0,0.0,0.0
0,7,10.9,70,0.7,2000,5.6,0.0,0.0,0.0
0,8,11.4,66,0.8,1991,5.2,0.18,0.0,0.0
0,9,12.8,57,1.2,1838,4.4,0.55,0.0,0.0
0,10,14.8,51,1.0,1998,4.7,1.07,0.0,0.0
0,11,16.4,45,0.7,2000,4.4,1.22,0.0,0.0
0,12,18.3,40,0.6,1995,4.4,1.82,0.0,0.0
0,13,19.2,39,1.0,2000,4.8,1.66,0.0,0.0
0,14,18.8,39,1.6,2000,4.5,0.67,0.0,0.0
0,15,18.3,40,1.2,2000,4.4,0.33,0.0,0.0
0,16,19.0,39,1.4,2000,4.7,0.89,0.0,0.0
0,17,18.4,39,2.1,2000,4.1,0.45,0.0,0.0
0,18,17.7,43,1.5,2000,4.9,0.05,0.0,0.0
0,19,17.3,47,2.2,2000,5.8,0.0,0.0,0.0
0,20,17.0,49,1.4,2000,6.1,0.0,0.0,0.0
0,21,16.8,52,1.6,2000,6.8,0.0,0.0,0.0
0,22,16.7,55,1.9,2000,7.6,0.0,0.0,0.0
0,23,16.6,53,1.1,2000,6.9,0.0,0.0,0.0
