Cylinders,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
6,11.8,8.5,10.3,27,237
6,12.4,8.6,10.7,26,246
6,12.0,8.7,10.5,27,242
6,12.6,9.0,11.0,26,253
6,12.3,8.9,10.8,26,248
6,12.8,8.9,11.0,26,253
6,12.7,9.0,11.0,26,253
6,12.9,9.1,11.2,25,258
6,11.6,8.3,10.1,28,232
6,12.4,8.6,10.7,26,246
6,12.1,8.7,10.6,27,244
6,12.6,8.6,10.8,26,248
6,12.4,8.7,10.7,26,246
6,12.6,8.8,10.9,26,251
6,16.0,11.5,14.0,20,322
6,13.7,9.6,11.9,24,274
6,13.7,9.6,11.9,24,274
6,13.7,9.6,11.9,24,274
6,13.7,9.6,11.9,24,274
6,10.7,7.4,9.2,31,212
6,11.5,7.9,9.9,29,228
6,11.3,7.9,9.8,29,225
6,11.9,8.6,10.4,27,239
6,14.1,10.2,12.4,23,290
6,15.8,10.9,13.6,21,313
8,16.7,11.5,14.4,20,338
8,15.5,10.7,13.2,21,310
6,11.8,9.9,10.9,26,251
8,16.3,11.0,13.9,20,326
8,18.0,11.9,15.2,19,358
6,10.7,7.4,9.2,31,212
6,11.5,7.9,9.9,29,228
6,11.3,7.9,9.8,29,225
6,11.9,8.6,10.4,27,239
6,12.9,8.4,10.9,26,251
6,13.1,8.7,11.1,25,255
6,13.4,8.8,11.3,25,260
6,13.7,8.9,11.5,25,264
8,15.1,9.7,12.7,22,292
6,13.4,8.8,11.3,25,260
8,15.3,9.7,12.8,22,294
8,15.4,9.8,12.9,22,297
8,17.1,12.0,14.8,19,340
8,15.8,10.9,13.6,21,313
8,17.6,12.7,15.4,18,354
8,16.3,11.5,14.1,20,324
6,14.6,10.1,12.6,22,290
6,13.9,9.5,11.9,24,274
6,12.9,9.3,11.3,25,260
6,13.3,9.1,11.4,25,262
12,19.1,12.3,16.0,18,368
12,19.1,12.3,16.0,18,368
12,20.7,12.8,17.1,17,393
12,20.7,12.8,17.1,17,393
12,20.7,12.7,17.1,17,393
12,20.7,12.7,17.1,17,393
12,18.7,11.8,15.6,18,359
4,9.6,7.0,8.4,34,193
4,10.9,7.8,9.5,30,218
4,6.6,5.7,6.2,46,143
4,10.2,7.5,9.0,31,207
4,10.2,7.6,9.0,31,207
4,10.9,8.6,9.9,29,228
4,10.9,8.6,9.9,29,228
4,8.8,7.1,8.0,35,184
4,8.6,7.1,7.9,36,182
3,6.9,5.7,6.4,44,147
3,6.9,5.7,6.4,44,147
10,20.0,13.0,16.9,17,389
10,20.0,13.0,16.9,17,389
4,9.6,7.1,8.5,33,196
4,11.0,7.9,9.6,29,221
4,10.2,8.6,9.5,30,218
4,9.6,7.4,8.6,33,198
4,10.9,8.3,9.7,29,223
4,8.7,6.6,7.8,36,179
4,9.6,7.1,8.5,33,196
4,12.6,9.5,11.2,25,258
4,14.2,10.4,12.5,23,288
4,8.7,6.6,7.8,36,179
4,9.6,7.1,8.5,33,196
4,12.6,9.5,11.2,25,258
4,14.2,10.4,12.5,23,288
4,9.7,7.3,8.6,33,198
4,11.3,8.2,9.9,29,228
6,13.3,9.5,11.6,24,267
4,9.9,7.8,9.0,31,207
4,10.8,8.5,9.8,29,225
6,13.4,9.7,11.7,24,269
6,14.7,11.1,13.1,22,301
4,9.5,7.2,8.5,33,196
4,10.2,8.0,9.2,31,212
4,8.1,7.2,7.7,37,177
6,14.3,11.1,12.9,22,297
6,14.3,11.1,12.9,22,297
6,11.3,7.6,9.6,29,221
4,9.5,6.6,8.2,34,189
6,11.1,7.8,9.6,29,221
4,5.5,5.9,5.7,50,131
4,5.8,6.2,6.0,47,138
4,8.6,6.5,7.7,37,177
4,8.1,6.3,7.3,39,168
4,8.0,5.9,7.1,40,163
4,8.3,6.3,7.4,38,170
4,7.7,5.6,6.8,42,156
4,7.8,5.9,6.9,41,159
4,9.4,7.5,8.5,33,196
4,8.9,7.3,8.2,34,189
6,14.3,11.2,12.9,22,297
6,15.4,12.1,13.9,20,320
4,11.7,8.6,10.3,27,237
6,12.6,9.4,11.2,25,258
6,13.0,9.7,11.5,25,264
6,8.0,8.6,8.3,34,191
6,7.9,8.6,8.2,34,189
4,4.7,4.9,4.8,59,110
4,4.6,4.9,4.7,60,108
4,5.3,5.8,5.5,51,126
4,10.0,7.6,8.9,32,205
4,10.4,8.1,9.4,30,216
4,10.6,8.2,9.5,30,218
8,19.0,13.9,16.7,17,384
6,12.9,9.4,11.3,25,260
6,14.2,10.3,12.4,23,285
4,12.2,9.3,10.9,26,251
4,11.3,8.9,10.2,28,235
6,14.5,11.3,13.1,22,301
4,13.1,10.5,11.9,24,274
4,12.8,10.6,11.8,24,271
6,14.7,11.5,13.3,21,306
6,15.3,12.3,14.0,20,322
6,14.8,11.8,13.5,21,310
8,15.9,12.3,14.3,20,329
8,17.6,12.9,15.5,18,356
8,16.9,12.8,15.1,19,347
8,18.1,13.9,16.2,17,373
4,11.4,8.2,10.0,28,230
6,12.6,9.1,11.0,26,253
4,11.6,8.5,10.2,28,235
6,12.9,9.4,11.3,25,260
4,7.9,6.6,7.3,39,168
4,7.8,6.3,7.1,40,163
4,9.5,7.2,8.5,33,196
4,9.9,7.2,8.7,32,200
4,10.3,7.7,9.1,31,209
4,10.8,7.6,9.4,30,216
5,10.9,8.4,9.8,29,225
5,11.2,7.7,9.6,29,221
4,9.8,7.3,8.7,32,200
4,10.3,8.1,9.3,30,214
4,10.8,7.6,9.4,30,216
5,11.2,8.7,10.1,28,232
4,11.1,7.9,9.7,29,223
4,11.6,7.7,9.8,29,225
6,14.3,9.8,12.3,23,283
4,10.9,8.0,9.6,29,221
5,11.0,7.7,9.5,30,218
5,11.2,7.3,9.4,30,216
4,9.5,6.7,8.2,34,189
4,9.4,6.7,8.2,34,189
4,10.6,8.0,9.4,30,216
4,10.4,7.2,9.0,31,207
4,10.2,7.5,9.0,31,207
4,10.6,7.4,9.2,31,212
4,5.6,5.2,5.4,52,124
4,9.9,6.9,8.6,33,198
4,10.0,6.9,8.6,33,198
5,11.0,8.0,9.7,29,223
5,11.4,7.8,9.8,29,225
6,12.4,8.8,10.8,26,248
6,14.2,9.5,12.1,23,278
4,11.7,9.5,10.7,26,246
4,13.6,9.2,11.6,24,267
4,11.7,9.4,10.7,26,246
6,14.4,10.4,12.6,22,296
5,11.3,7.8,9.7,29,223
5,11.6,8.3,10.1,28,232
6,13.2,9.5,11.5,25,264
6,11.9,8.1,10.2,28,235
6,13.2,9.5,11.5,25,264
6,13.0,8.9,11.2,25,258
6,13.4,9.8,11.8,24,271
6,13.2,9.5,11.5,25,264
6,13.4,9.8,11.8,24,271
6,12.9,9.3,11.3,25,260
6,14.9,10.2,12.8,22,294
4,9.7,6.7,8.3,34,191
4,10.8,7.4,9.3,30,214
4,6.0,6.1,6.1,46,140
6,12.7,9.1,11.1,25,255
6,12.1,8.7,10.6,27,244
6,11.9,7.7,10.0,28,230
6,8.0,7.5,7.7,37,177
4,9.6,6.6,8.3,34,191
6,11.2,6.9,9.2,31,212
6,11.2,7.5,9.6,29,221
4,9.7,6.9,8.4,34,193
12,18.0,12.6,15.6,18,359
12,16.8,10.9,14.2,20,327
8,17.4,11.3,14.7,19,338
8,18.1,12.3,15.5,18,356
8,17.4,11.3,14.7,19,338
8,18.1,12.3,15.5,18,356
12,19.5,12.8,16.5,17,379
8,17.4,11.3,14.7,19,338
8,18.1,12.3,15.5,18,356
12,17.6,11.4,14.8,19,340
4,10.0,7.1,8.7,32,200
4,9.8,7.2,8.6,33,198
4,10.1,7.5,8.9,32,205
4,9.9,7.6,8.9,32,205
4,11.0,7.8,9.6,29,221
4,10.6,7.3,9.1,31,209
4,11.2,8.4,9.9,28,228
4,11.0,7.8,9.6,29,221
4,10.6,7.3,9.1,31,209
4,11.3,8.0,9.8,29,225
4,12.0,8.1,10.3,27,237
6,12.8,8.6,10.9,26,251
6,13.1,8.5,11.0,26,253
6,12.6,8.0,10.5,27,242
8,12.9,8.0,10.7,26,246
6,12.6,8.0,10.5,27,242
8,13.2,8.3,11.0,26,258
12,17.8,10.8,14.6,19,344
4,12.0,8.2,10.3,27,237
4,11.9,8.4,10.3,27,237
4,12.0,8.5,10.4,27,239
6,13.2,9.2,11.4,25,262
4,9.8,7.9,8.9,32,205
6,15.2,11.0,13.3,21,306
8,17.3,10.4,14.2,20,327
8,20.5,11.7,16.6,17,382
10,18.2,10.6,14.8,19,347
10,19.9,12.0,16.4,17,377
8,17.3,10.4,14.2,20,327
8,20.5,11.7,16.6,17,382
10,18.2,10.6,14.8,19,347
10,19.9,12.0,16.4,17,377
8,14.9,10.1,12.8,22,294
8,14.8,10.6,12.9,22,297
8,16.6,9.4,13.3,21,313
4,10.1,7.7,9.0,31,207
6,13.0,8.5,11.0,26,253
6,13.8,9.0,11.7,24,269
6,13.0,8.5,11.0,26,253
6,13.8,9.0,11.7,24,269
6,13.3,9.1,11.4,25,262
8,14.0,8.7,11.7,24,269
8,14.0,8.7,11.7,24,269
8,14.6,8.8,11.9,24,281
6,14.1,9.9,12.2,23,281
4,10.4,7.6,9.1,31,209
4,10.4,7.7,9.2,31,212
4,11.7,8.4,10.2,28,235
4,11.7,8.5,10.2,28,235
8,16.1,9.4,13.1,22,307
12,18.9,11.2,15.4,18,354
8,17.7,10.3,14.4,20,337
12,19.6,11.7,16.0,18,368
8,17.6,10.1,14.2,20,327
8,17.7,10.0,14.2,20,334
12,20.3,11.9,16.5,17,388
8,22.3,13.3,18.2,16,419
4,10.4,7.1,8.9,32,205
4,10.0,6.5,8.4,34,193
4,10.7,6.9,9.0,31,207
4,10.6,7.2,9.1,31,209
4,10.3,6.7,8.7,32,200
4,10.0,6.5,8.4,34,193
4,10.7,6.9,9.0,31,207
4,10.3,6.7,8.7,32,200
4,10.0,6.5,8.4,34,193
4,10.7,6.9,9.0,31,207
4,10.6,7.2,9.1,31,209
4,10.6,7.2,9.1,31,209
4,10.6,7.2,9.1,31,209
6,11.4,7.4,9.6,29,221
6,11.5,7.8,9.8,29,225
6,11.9,7.8,10.0,28,230
6,12.0,8.3,10.3,27,237
6,11.9,7.8,10.0,28,230
4,10.4,7.1,8.9,32,205
4,10.0,6.5,8.4,34,193
4,10.7,6.9,9.0,31,207
4,10.4,7.1,8.9,32,205
4,10.9,6.8,9.0,31,207
4,11.2,7.5,9.6,29,221
4,10.6,7.2,9.1,31,209
4,10.6,7.2,9.1,31,209
6,11.8,7.6,9.9,29,228
6,11.4,7.4,9.6,29,221
6,11.5,7.8,9.8,29,225
6,11.4,7.4,9.6,29,221
6,12.1,8.1,10.3,27,237
6,11.9,7.8,10.0,28,230
6,12.0,8.3,10.3,27,237
6,11.9,7.8,10.0,28,230
4,10.4,7.1,8.9,32,205
4,10.6,7.2,9.1,31,209
6,12.1,8.1,10.3,27,237
6,12.8,8.9,11.0,26,253
8,14.4,9.7,12.3,23,283
8,15.2,9.8,12.8,22,294
6,12.1,8.1,10.3,27,237
6,12.1,8.1,10.3,27,237
8,15.2,9.8,12.8,22,294
8,14.4,9.7,12.3,23,283
8,15.2,9.8,12.8,22,294
6,12.1,8.1,10.3,27,237
8,15.2,9.8,12.8,22,294
8,15.2,9.8,12.8,22,294
12,18.7,11.6,15.5,18,356
6,9.7,7.5,8.7,32,200
6,10.6,7.9,9.4,30,216
6,10.6,7.7,9.3,30,214
8,15.2,9.8,12.8,22,294
8,15.2,9.8,12.8,22,294
8,15.2,9.8,12.8,22,294
6,11.8,8.1,10.2,28,235
6,12.3,9.0,10.8,26,248
6,11.8,8.1,10.2,28,235
6,11.9,8.5,10.4,27,239
6,11.9,7.8,10.0,28,230
6,14.2,9.6,12.1,23,278
6,13.7,9.0,11.6,24,267
6,14.1,9.7,12.1,23,278
6,14.1,9.0,11.8,24,271
6,14.1,9.7,12.1,23,278
6,13.7,9.0,11.6,24,267
8,17.3,11.5,14.7,19,338
8,16.1,10.8,13.7,21,315
8,17.3,11.5,14.7,19,338
8,16.1,10.8,13.7,21,315
8,17.3,11.5,14.7,19,338
8,16.1,10.8,13.7,21,315
8,17.3,11.5,14.7,19,338
8,16.1,10.8,13.7,21,315
4,10.6,7.2,9.1,31,209
6,13.2,8.9,11.2,25,258
4,11.1,8.4,9.9,29,228
6,12.7,8.8,10.9,26,251
4,11.7,8.4,10.2,28,235
6,12.7,8.8,10.9,26,251
8,16.6,12.1,14.6,19,336
6,13.0,8.9,11.1,25,255
8,16.1,10.9,13.8,20,317
8,16.6,12.1,14.6,19,336
6,13.0,8.9,11.1,25,255
8,16.1,10.9,13.8,20,317
4,10.7,7.1,9.1,31,209
4,10.7,6.9,9.0,31,207
6,13.7,10.0,12.1,23,278
6,12.7,9.0,11.0,26,253
6,13.7,10.0,12.1,23,278
6,14.2,9.9,12.3,23,283
6,14.6,10.2,12.6,22,290
4,9.5,7.2,8.5,33,196
4,10.2,8.0,9.2,31,212
6,13.7,8.6,11.4,25,262
6,13.9,9.1,11.7,24,269
4,9.6,6.5,8.2,34,189
4,11.4,7.9,9.8,29,225
4,11.6,7.6,9.8,29,225
4,12.4,8.7,10.7,26,246
4,9.6,6.5,8.2,34,189
4,11.4,7.9,9.8,29,225
4,11.6,7.6,9.8,29,225
4,11.1,7.4,9.4,30,216
4,11.1,7.9,9.7,29,223
4,12.2,7.9,10.3,27,237
4,11.1,7.2,9.3,30,214
6,12.8,8.4,10.8,26,248
4,11.5,8.5,10.2,28,235
6,12.8,8.9,11.0,26,253
4,11.5,7.9,9.9,29,228
6,12.8,8.2,10.7,26,246
4,12.3,8.5,10.6,27,244
6,12.8,8.9,11.0,26,253
6,15.1,9.9,12.7,22,292
8,16.2,11.4,14.0,20,322
8,15.9,11.1,13.8,20,317
8,16.8,11.7,14.5,19,334
8,16.4,11.7,14.3,20,329
6,14.2,9.8,12.3,23,283
6,14.8,10.4,12.8,22,294
6,13.6,8.6,11.3,25,260
6,13.7,8.9,11.6,24,267
6,14.8,9.9,12.6,22,290
6,13.3,8.8,11.3,25,260
6,14.0,8.4,11.5,25,265
8,15.3,9.8,12.8,22,294
8,15.0,9.9,12.7,22,292
6,12.6,7.9,10.5,27,242
8,18.1,12.3,15.5,18,357
8,19.9,13.0,16.8,17,386
8,16.6,12.4,14.7,19,338
4,9.7,9.0,9.4,30,216
4,11.9,8.8,10.5,27,242
4,12.2,9.1,10.8,26,248
6,13.0,9.2,11.3,25,260
4,12.7,9.5,11.3,25,260
6,13.5,9.8,11.8,24,271
8,14.6,8.1,11.7,24,269
8,13.7,8.2,11.2,25,258
8,17.7,10.2,14.3,20,329
8,15.7,10.6,13.4,21,308
4,9.1,6.3,7.8,36,179
4,9.0,6.2,7.8,36,179
4,10.5,6.8,8.8,32,202
4,9.4,6.6,8.1,35,186
4,9.0,6.1,7.7,37,177
4,8.4,5.6,7.1,40,163
4,10.5,7.3,9.1,31,209
4,10.5,7.3,9.1,31,209
6,14.2,9.5,12.1,23,278
4,11.5,8.2,10.0,28,230
4,11.5,8.2,10.0,28,230
6,14.8,9.9,12.6,22,290
8,21.0,14.2,18.0,16,414
8,22.0,14.9,18.8,15,432
8,22.0,14.9,18.8,15,432
8,21.3,14.3,18.1,16,416
8,22.2,15.1,19.0,15,437
8,22.2,15.1,19.0,15,437
4,10.6,7.5,9.2,31,212
6,12.5,8.2,10.6,27,244
4,11.4,7.9,9.8,29,225
4,9.3,6.4,8.0,35,184
6,13.4,9.9,11.9,24,274
8,14.6,10.3,12.7,22,292
8,16.1,11.4,14.0,20,322
6,14.1,10.6,12.5,23,288
8,14.9,10.7,13.0,22,299
8,16.3,11.6,14.2,20,327
4,9.0,6.8,8.0,35,184
4,8.5,6.2,7.5,38,173
4,9.6,6.7,8.3,34,191
4,9.0,6.8,8.0,35,184
4,9.4,7.0,8.3,34,191
4,8.9,6.9,8.0,35,184
4,9.0,6.8,8.0,35,184
4,8.5,6.2,7.5,38,173
4,9.6,6.7,8.3,34,191
4,9.0,6.8,8.0,35,184
4,9.4,7.0,8.3,34,191
4,8.9,6.9,8.0,35,184
4,7.7,6.1,7.0,40,161
4,7.5,6.0,6.8,42,156
8,14.9,10.1,12.7,22,292
8,15.4,10.8,13.3,21,306
8,14.9,10.1,12.7,22,292
8,15.1,10.4,13.0,22,299
6,14.2,9.9,12.3,23,283
6,14.6,10.2,12.6,22,290
4,9.2,7.0,8.2,34,189
4,9.1,6.9,8.1,35,186
4,9.7,7.6,8.7,32,200
4,10.2,6.4,8.5,33,196
4,10.2,6.4,8.5,33,196
6,12.4,7.5,10.2,28,235
6,12.4,7.5,10.2,28,235
6,12.8,8.1,10.7,26,246
6,12.8,8.1,10.7,26,246
6,12.4,7.7,10.3,27,237
6,12.4,7.7,10.3,27,237
8,14.8,9.3,12.3,23,283
6,12.8,8.6,10.9,26,251
6,12.8,8.6,10.9,26,251
6,14.1,9.5,12.0,24,276
6,12.4,7.8,10.3,27,237
8,15.6,10.0,13.1,22,301
8,16.8,10.4,13.9,20,320
8,14.8,9.3,12.3,23,283
8,15.7,9.5,12.9,22,297
8,16.8,10.4,13.9,20,320
8,15.7,9.5,12.9,22,297
8,18.0,10.7,14.7,19,338
8,18.1,11.4,15.1,19,347
6,13.7,8.9,11.5,25,264
6,13.7,8.9,11.5,25,264
6,12.4,7.7,10.3,27,237
6,12.4,7.7,10.3,27,237
8,15.7,9.6,12.9,22,297
8,14.8,9.3,12.3,23,283
6,12.8,8.6,10.9,26,251
6,12.8,8.6,10.9,26,251
8,16.1,10.0,13.4,21,308
8,15.7,9.5,12.9,22,297
8,18.0,10.7,14.7,19,338
4,9.4,6.5,8.1,35,186
4,9.9,7.0,8.6,33,198
4,10.1,6.8,8.6,33,198
4,10.5,6.7,8.8,32,202
4,10.6,7.5,9.2,31,212
4,10.2,7.0,8.8,32,202
4,8.4,5.9,7.3,39,168
4,8.5,5.8,7.3,39,168
6,13.9,9.8,12.1,23,278
8,17.3,11.5,14.7,19,338
6,13.7,9.4,11.8,24,271
4,12.7,9.1,11.1,25,255
6,14.2,9.4,12.1,23,278
6,14.5,9.9,12.4,23,285
10,19.4,11.3,15.8,18,363
4,8.7,6.9,7.9,36,182
4,7.9,6.3,7.2,39,166
4,8.7,6.9,7.9,36,182
4,7.6,5.9,6.8,42,156
4,9.6,7.3,8.6,33,198
4,8.5,6.9,7.8,36,179
4,9.6,7.3,8.6,33,198
4,8.5,6.9,7.8,36,179
4,9.6,7.3,8.6,33,198
4,8.5,6.9,7.8,36,179
4,10.6,7.8,9.4,30,216
4,9.9,7.2,8.7,32,200
4,9.3,7.1,8.3,34,191
4,5.6,6.4,6.0,47,138
4,11.5,7.8,9.8,29,225
4,11.3,7.9,9.8,29,225
6,13.2,9.0,11.3,25,260
4,11.8,8.4,10.3,27,237
6,13.7,9.6,11.8,24,271
6,13.6,9.8,11.9,24,274
4,10.4,7.4,9.0,31,207
4,10.9,8.0,9.6,29,221
4,10.9,7.6,9.5,30,218
4,10.6,8.0,9.4,30,216
4,11.4,8.4,10.1,28,232
6,16.2,11.8,14.2,20,327
6,16.4,12.0,14.4,20,331
4,11.9,8.5,10.4,27,239
6,13.7,9.7,11.9,24,274
6,14.9,10.7,13.0,22,299
6,14.2,10.3,12.5,23,288
6,12.2,9.2,10.8,26,248
6,13.7,9.9,12.0,24,276
6,13.2,9.6,11.5,25,264
8,15.5,10.6,13.3,21,306
6,13.3,10.4,12.0,24,276
6,14.2,10.4,12.5,23,288
6,13.9,10.5,12.4,23,285
8,16.0,11.3,13.9,20,320
4,8.7,6.4,7.6,37,175
4,8.5,6.5,7.6,37,175
3,7.5,5.5,6.6,43,152
4,8.4,6.2,7.4,38,170
4,8.9,6.8,8.0,35,184
6,13.3,9.5,11.6,24,267
6,13.7,10.1,12.1,23,278
6,14.6,10.4,12.8,22,294
3,8.1,5.9,7.1,40,163
4,10.2,7.3,8.9,32,205
4,8.9,6.2,7.7,37,177
4,9.1,6.3,7.8,36,179
4,9.3,6.7,8.1,35,186
4,9.9,6.5,8.4,34,193
4,9.4,6.3,8.0,35,184
4,10.5,7.0,8.9,32,205
4,10.6,7.0,8.9,32,205
4,10.8,7.5,9.3,30,214
4,5.4,5.8,5.5,51,126
4,11.0,7.4,9.4,30,216
4,10.6,7.5,9.2,31,212
6,12.6,8.5,10.7,26,246
6,13.5,8.3,11.2,25,258
8,14.9,9.5,12.4,23,285
8,15.2,9.3,12.5,23,288
4,11.6,7.9,9.9,29,228
8,15.4,10.0,13.0,22,299
6,16.6,12.5,14.7,19,338
6,16.6,12.6,14.8,19,340
4,10.5,7.4,9.1,31,209
6,13.9,9.5,11.9,24,274
6,12.2,8.2,10.4,27,239
6,13.0,9.1,11.3,25,260
4,10.6,7.9,9.4,30,216
4,11.3,8.2,9.9,29,228
4,11.7,8.4,10.2,28,235
4,12.0,8.5,10.4,27,239
6,14.2,9.9,12.3,23,283
6,14.6,10.2,12.6,22,290
4,11.9,8.8,10.5,27,242
4,12.2,9.1,10.8,26,248
6,13.0,9.2,11.3,25,260
4,12.7,9.5,11.3,25,260
6,13.5,9.8,11.8,24,271
8,21.0,14.2,18.0,16,414
8,22.0,14.9,18.8,15,432
8,22.0,14.9,18.8,15,432
8,21.3,14.3,18.1,16,416
8,22.2,15.1,19.0,15,437
8,22.2,15.1,19.0,15,437
6,13.4,9.9,11.9,24,274
8,14.6,10.3,12.7,22,292
8,16.1,11.4,14.0,20,322
6,14.1,10.6,12.5,23,288
8,14.9,10.7,13.0,22,299
8,16.3,11.6,14.2,20,327
4,10.5,7.3,9.1,31,209
4,10.5,7.3,9.1,31,209
6,14.2,9.5,12.1,23,278
4,11.5,8.2,10.0,28,230
6,14.8,9.9,12.6,22,290
8,14.9,10.1,12.7,22,292
8,15.1,10.4,13.0,22,299
8,16.2,11.4,14.0,20,322
8,15.9,11.1,13.8,20,317
8,14.9,10.1,12.7,22,292
8,15.4,10.8,13.3,21,306
8,16.8,11.7,14.5,19,334
8,16.4,11.7,14.3,20,329
4,8.8,6.5,7.8,36,179
4,9.0,6.7,8.0,35,184
4,10.1,6.9,8.7,32,200
6,11.0,6.8,9.1,31,209
6,11.4,7.3,9.5,30,219
6,13.0,8.4,10.9,26,251
4,4.7,5.3,5.0,56,115
4,7.9,6.1,7.1,40,163
4,8.1,6.2,7.2,39,166
4,8.6,6.6,7.7,37,177
4,10.8,7.6,9.4,30,216
4,5.3,5.0,5.2,54,120
4,8.6,6.9,7.8,36,179
4,9.1,7.2,8.3,34,191
4,6.6,6.0,6.3,45,145
4,7.6,6.1,6.9,41,159
4,7.0,5.7,6.4,44,147
4,7.3,6.1,6.8,42,156
4,8.1,6.4,7.3,39,168
6,12.3,8.5,10.6,27,244
6,13.3,9.3,11.5,25,264
6,13.8,9.7,12.0,24,276
4,8.9,6.3,7.7,37,177
4,8.7,6.3,7.6,37,175
4,8.5,6.3,7.5,38,172
4,8.8,6.4,7.7,37,177
4,9.7,6.7,8.3,34,191
4,9.8,7.0,8.5,33,196
4,9.6,6.8,8.3,34,191
4,9.7,6.7,8.3,34,191
4,9.7,7.2,8.6,33,198
4,9.8,6.9,8.5,33,196
8,15.8,10.2,13.3,21,306
6,14.4,9.4,12.1,23,278
8,17.3,10.5,14.2,20,327
6,14.6,9.6,12.3,23,283
6,14.4,9.9,12.4,23,285
6,12.9,9.4,11.3,25,260
6,13.0,9.7,11.5,25,264
4,11.7,8.7,10.3,27,237
4,12.9,9.8,11.5,25,264
4,12.5,9.3,11.1,25,255
6,13.9,10.8,12.5,23,287
4,10.4,7.4,9.1,31,209
4,9.8,6.7,8.4,34,193
4,9.8,6.7,8.4,34,193
4,6.6,5.9,6.3,45,145
4,6.6,5.9,6.3,45,145
4,10.2,8.2,9.3,30,214
4,11.4,8.5,10.1,28,232
4,11.3,8.3,10.0,28,230
4,11.4,9.3,10.4,27,239
4,11.6,9.3,10.6,27,244
4,8.6,6.6,7.7,37,177
4,9.0,6.7,8.0,35,184
4,9.9,7.6,8.8,32,202
4,9.7,7.0,8.5,33,196
6,12.0,8.1,10.3,27,237
6,12.5,8.7,10.8,26,248
6,8.2,6.7,7.5,38,172
6,8.7,7.5,8.2,34,189
6,12.4,8.7,10.7,26,246
6,13.6,9.3,11.6,24,267
6,13.3,9.4,11.5,25,264
6,13.6,9.3,11.7,24,269
6,14.3,9.8,12.3,23,283
6,12.8,8.9,11.0,26,253
8,14.8,9.5,12.4,23,285
6,13.2,9.6,11.6,24,267
8,15.0,10.2,12.9,22,297
6,8.0,6.9,7.5,38,172
6,13.7,9.7,11.9,24,274
6,11.4,8.5,10.1,28,232
6,12.2,8.9,10.7,26,246
4,8.9,8.4,8.7,32,200
6,14.6,10.7,12.8,22,294
8,16.9,11.9,14.7,19,338
6,11.8,8.4,10.3,27,237
6,11.8,8.4,10.3,27,237
6,12.2,8.7,10.6,27,244
6,12.2,8.7,10.6,27,244
8,15.0,10.2,12.8,22,294
8,15.0,10.2,12.8,22,294
4,12.3,8.2,10.5,27,242
6,13.9,8.8,11.6,24,267
8,15.7,10.3,13.2,21,304
8,15.7,10.3,13.2,21,304
6,14.6,9.6,12.4,23,285
8,15.8,10.2,13.3,21,306
6,14.7,9.6,12.5,23,288
8,15.8,10.2,13.3,21,306
8,15.8,10.2,13.3,21,306
8,15.8,10.2,13.3,21,306
8,15.9,10.9,13.6,21,313
8,15.6,10.9,13.4,21,308
8,15.9,10.9,13.6,21,313
8,15.6,10.9,13.4,21,308
4,10.9,7.7,9.5,30,218
4,10.9,7.7,9.5,30,218
6,11.4,8.1,9.9,29,228
4,11.3,8.3,10.0,28,230
4,11.3,8.3,10.0,28,230
6,11.6,8.5,10.2,28,235
4,11.4,8.6,10.1,28,232
6,12.6,8.9,10.9,26,251
4,12.1,9.4,10.9,26,251
6,12.2,9.0,10.8,26,248
4,10.7,8.8,9.9,29,228
4,10.2,7.8,9.2,31,212
4,11.2,8.6,10.0,28,230
4,10.2,8.2,9.3,30,214
4,11.4,8.7,10.2,28,235
4,10.6,8.6,9.7,29,223
4,11.7,10.3,11.1,25,255
6,13.9,9.8,12.1,23,278
8,17.3,11.5,14.7,19,338
8,18.5,12.6,15.8,18,363
4,10.7,8.8,9.9,29,228
4,10.2,7.8,9.2,31,212
4,11.2,8.6,10.0,28,230
4,10.2,8.2,9.3,30,214
4,11.4,8.7,10.2,28,235
4,10.6,8.6,9.7,29,223
4,11.7,10.3,11.1,25,255
4,9.9,7.5,8.8,32,202
4,10.8,7.7,9.4,30,216
4,9.9,7.5,8.8,32,202
4,11.2,8.0,9.8,29,225
6,14.1,11.1,12.8,22,294
6,14.2,11.0,12.8,22,294
6,14.8,11.7,13.4,21,308
6,15.0,11.4,13.4,21,308
6,12.7,8.4,10.7,26,246
4,8.8,6.1,7.6,37,175
4,9.3,6.3,7.9,36,182
4,9.7,6.7,8.3,34,191
4,9.8,6.9,8.5,33,196
4,11.1,8.0,9.7,29,223
4,11.1,8.2,9.8,29,225
4,9.5,7.2,8.5,33,196
4,9.7,6.9,8.4,34,193
4,10.6,7.8,9.4,30,216
4,10.8,8.1,9.6,29,221
4,9.7,7.1,8.6,33,198
4,10.0,7.4,8.8,32,202
6,13.3,8.9,11.3,25,260
8,15.7,10.3,13.3,21,306
4,11.7,7.7,9.9,29,228
4,10.2,6.9,8.7,32,200
4,6.6,5.9,6.3,45,145
4,6.7,6.1,6.4,44,147
4,8.8,6.3,7.7,37,177
4,8.7,6.4,7.7,37,177
4,8.5,6.3,7.6,37,175
4,10.6,7.6,9.3,30,214
4,10.8,7.4,9.3,30,214
6,13.2,9.7,11.6,24,267
6,12.9,9.5,11.4,25,262
6,14.2,10.5,12.5,23,288
